************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 12:42:30
Simulation start date: 2018-01-01
Simulation end date: 2018-05-11
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 Wheat -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date   ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date
2018-039  2018  039  Thu  2018-02-08    3.790 0.527 0.527 0.303 1.182 0.209 1.000 0.791  18.045 0.000 0.000  0.000   0.000 0.527  1.996  66.528 -99.999 -99.999 0.540 0.670  44.584 1.000 0.527  1.996  1.996   0.000 -99.999  39.980   0.601 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  039  Thu  2018-02-08  
2018-040  2018  040  Fri  2018-02-09    3.920 0.555 0.555 0.335 1.183 0.235 1.000 0.765  18.045 0.000 0.000  0.000   0.000 0.555  2.176  70.224 -99.999 -99.999 0.570 0.663  46.557 1.000 0.555  2.176  2.176   0.000 -99.999  42.155   0.600 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  040  Fri  2018-02-09  
2018-041  2018  041  Sat  2018-02-10    3.540 0.583 0.583 0.367 1.152 0.272 1.000 0.728  18.045 0.000 0.000  0.000   0.000 0.583  2.065  73.920 -99.999 -99.999 0.600 0.667  49.334 1.000 0.583  2.065  2.065   0.000 -99.999  44.220   0.598 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  041  Sat  2018-02-10  
2018-042  2018  042  Sun  2018-02-11    3.270 0.612 0.612 0.398 1.137 0.306 1.000 0.694  18.045 0.000 0.000  0.000   0.000 0.612  2.000  77.616 -99.999 -99.999 0.630 0.670  52.002 1.000 0.612  2.000  2.000   0.000 -99.999  46.220   0.595 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  042  Sun  2018-02-11  
2018-043  2018  043  Mon  2018-02-12    1.620 0.640 0.640 0.430 1.182 0.314 1.000 0.686  18.045 0.000 0.000  0.000   0.000 0.640  1.037  81.312 -99.999 -99.999 0.660 0.709  57.612 1.000 0.640  1.037  1.037   0.000 -99.999  47.257   0.581 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  043  Mon  2018-02-12  
2018-044  2018  044  Tue  2018-02-13    3.260 0.668 0.668 0.462 1.138 0.364 1.000 0.636  18.045 0.000 0.000  0.000   0.000 0.668  2.179  85.008 -99.999 -99.999 0.690 0.663  56.347 1.000 0.668  2.179  2.179   0.000 -99.999  49.436   0.582 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  044  Tue  2018-02-13  
2018-045  2018  045  Wed  2018-02-14    3.980 0.697 0.697 0.493 1.172 0.375 1.000 0.625  18.045 0.000 0.000  0.000   0.000 0.697  2.773  88.704 -99.999 -99.999 0.720 0.639  56.690 1.000 0.697  2.773  2.773   0.000 -99.999  52.209   0.589 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  045  Wed  2018-02-14  
2018-046  2018  046  Thu  2018-02-15    3.820 0.725 0.725 0.525 1.160 0.411 1.000 0.589  18.045 0.000 0.000  0.000   0.000 0.725  2.769  92.400 -99.999 -99.999 0.750 0.639  59.064 1.000 0.725  2.769  2.769   0.000 -99.999  54.978   0.595 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  046  Thu  2018-02-15  
2018-047  2018  047  Fri  2018-02-16    3.730 0.753 0.753 0.557 1.139 0.455 1.000 0.545  18.045 0.000 0.000  0.000   0.000 0.753  2.810  96.096 -99.999 -99.999 0.780 0.638  61.271 1.000 0.753  2.810  2.810   0.000 -99.999  57.788   0.601 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  047  Fri  2018-02-16  
2018-048  2018  048  Sat  2018-02-17    4.040 0.782 0.782 0.588 1.145 0.483 1.000 0.517  18.045 0.000 0.000  0.000   0.000 0.782  3.158  99.792 -99.999 -99.999 0.810 0.624  62.239 1.000 0.782  3.158  3.158   0.000 -99.999  60.946   0.611 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  048  Sat  2018-02-17  
2018-049  2018  049  Sun  2018-02-18    3.930 0.810 0.810 0.620 1.128 0.530 1.000 0.470  18.045 0.000 0.000  0.000   0.000 0.810  3.183 103.488 -99.999 -99.999 0.840 0.623  64.439 1.000 0.810  3.183  3.183   0.000 -99.999  64.129   0.620 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  049  Sun  2018-02-18  
2018-050  2018  050  Mon  2018-02-19    3.600 0.838 0.838 0.652 1.113 0.579 1.000 0.421  18.045 0.000 0.000  0.000   0.000 0.838  3.018 107.184 -99.999 -99.999 0.870 0.629  67.449 1.000 0.838  3.018  3.018   0.000 -99.999  67.147   0.626 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  050  Mon  2018-02-19  
2018-051  2018  051  Tue  2018-02-20    4.100 0.867 0.867 0.683 1.118 0.611 1.000 0.389  18.045 0.000 0.000  0.000   0.000 0.867  3.553 110.880 -99.999 -99.999 0.900 0.608  67.400 1.000 0.867  3.553  3.553   0.000 -99.999  70.701   0.638 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  051  Tue  2018-02-20  
2018-052  2018  052  Wed  2018-02-21    3.950 0.895 0.895 0.715 1.112 0.655 1.000 0.345  18.045 0.000 0.000  0.000   0.000 0.895  3.535 114.576 -99.999 -99.999 0.930 0.609  69.730 0.978 0.876  3.459  3.459   0.000 -99.999  74.159   0.647 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  052  Wed  2018-02-21  
2018-053  2018  053  Thu  2018-02-22    4.030 0.923 0.923 0.747 1.106 0.703 1.000 0.297  18.045 0.000 0.000  0.000   0.000 0.923  3.721 118.272 -99.999 -99.999 0.960 0.601  71.100 0.935 0.863  3.480  3.480   0.000 -99.999  77.639   0.656 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  053  Thu  2018-02-22  
2018-054  2018  054  Fri  2018-02-23    3.290 0.952 0.952 0.778 1.088 0.767 1.000 0.233  18.045 0.000 0.000  0.000   0.000 0.952  3.131 121.968 -99.999 -99.999 0.990 0.625  76.201 0.969 0.922  3.033  3.033   0.000 -99.999  80.672   0.661 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  054  Fri  2018-02-23  
2018-055  2018  055  Sat  2018-02-24    4.060 0.980 0.980 0.810 1.132 0.753 1.000 0.247  18.045 0.000 0.000  0.000   0.000 0.980  3.979 125.664 -99.999 -99.999 1.020 0.591  74.248 0.875 0.858  3.482  3.482   0.000 -99.999  84.153   0.670 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  055  Sat  2018-02-24  
2018-056  2018  056  Sun  2018-02-25    4.250 1.008 1.008 0.842 1.129 0.800 1.000 0.200  18.045 0.000 0.000  0.000   0.000 1.008  4.285 129.360 -99.999 -99.999 1.050 0.579  74.846 0.829 0.836  3.554  3.554   0.000 -99.999  87.707   0.678 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  056  Sun  2018-02-25  
