ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
32,Wheat,1988,125,1988-09-18,mad,0.5,428.578,355.359,354.395,61.01,293.385,355.847,0.765,417.241,0.0,303.989,0.0,395.185,5,60.798,0.0,63.378,0.207
27,Rice,2014,120,2014-05-11,madDs,0.47,754.975,810.616,804.269,417.607,386.662,197.421,1.633,161.72,0.0,937.171,0.0,1218.322,38,24.662,0.0,98.337,0.318
27,Wheat,2014,125,2014-09-18,mad,0.5,461.296,368.473,367.574,58.96,308.614,0.0,0.0,24.71,0.0,325.584,0.0,423.259,6,54.264,1.024,36.116,0.184
28,Rice,2015,120,2015-05-11,madDs,0.47,710.167,752.6,747.666,392.927,354.739,330.484,2.734,308.71,0.0,822.692,0.0,1069.5,35,23.505,0.0,53.938,0.244
28,Wheat,2015,125,2015-09-18,mad,0.5,450.196,347.161,346.296,50.031,296.266,15.519,0.002,29.49,0.0,300.403,0.0,390.524,5,60.081,0.0,19.907,0.17
26,Rice,2013,120,2013-05-11,madDs,0.47,697.302,738.739,734.194,394.476,339.717,475.678,3.935,523.56,0.0,742.872,0.0,965.734,31,23.964,0.0,57.218,0.249
26,Wheat,2013,125,2013-09-18,mad,0.5,416.449,355.835,354.727,68.082,286.646,22.356,0.008,80.743,0.0,309.036,0.0,401.747,5,61.807,0.0,63.93,0.207
30,Rice,2017,120,2017-05-11,madDs,0.47,698.072,747.348,742.53,384.569,357.961,368.728,3.049,355.008,0.0,841.484,0.0,1093.929,34,24.75,0.0,86.179,0.298
30,Wheat,2017,125,2017-09-18,mad,0.5,456.958,350.019,348.816,52.123,296.693,29.555,0.007,45.203,0.0,300.403,0.0,390.524,5,60.081,0.0,17.658,0.169
29,Rice,2016,120,2016-05-11,madDs,0.47,705.79,750.567,745.468,398.41,347.058,231.772,1.994,282.944,0.0,774.909,0.0,1007.382,32,24.216,0.0,81.448,0.29
29,Wheat,2016,125,2016-09-18,mad,0.5,463.628,369.198,368.23,44.257,323.973,51.76,0.001,60.952,0.0,371.081,0.0,482.405,6,61.847,0.0,62.833,0.206
31,Rice,2018,120,2018-05-11,madDs,0.47,710.917,756.41,750.231,411.851,338.381,415.813,3.452,484.475,0.0,772.467,0.0,1004.207,31,24.918,0.0,91.974,0.307
31,Wheat,2018,125,2018-09-18,mad,0.5,409.912,320.085,318.874,48.681,270.192,115.186,0.271,134.318,0.0,304.911,0.0,396.384,5,60.982,0.0,56.948,0.201
35,Rice,1991,120,1991-05-11,madDs,0.75,783.308,833.283,821.551,422.701,398.851,309.636,2.56,379.55,0.0,857.236,0.0,1114.406,28,30.616,0.0,107.569,0.333
35,Wheat,1991,125,1991-09-18,mad,0.5,471.179,361.649,361.129,62.322,298.807,0.0,0.0,29.374,0.0,310.737,0.0,403.958,6,51.79,2.524,33.551,0.182
40,Rice,1996,120,1996-05-11,madDs,0.75,656.234,697.596,691.148,373.653,317.495,330.588,2.735,458.675,0.0,657.537,0.0,854.798,23,28.589,0.0,127.406,0.366
40,Wheat,1996,125,1996-09-18,mad,0.5,480.644,415.191,415.16,68.84,346.319,0.666,0.0,43.739,0.0,328.06,0.0,426.479,6,54.677,5.824,14.846,0.166
34,Rice,1990,120,1990-05-11,madDs,0.75,729.395,774.47,767.144,412.74,354.405,298.55,2.47,455.527,0.0,719.536,0.0,935.397,25,28.781,0.0,142.173,0.391
34,Wheat,1990,125,1990-09-18,mad,0.5,431.053,344.328,344.328,41.939,302.389,13.856,0.001,49.869,0.0,304.331,0.0,395.63,5,60.866,8.324,56.507,0.201
