************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 18:13:17
Simulation start date: 2018-05-15
Simulation end date: 2018-09-12
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 DSR -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date    ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date   Day
2018-182  2018  182  Sun  2018-07-01    5.610 1.140 1.140 0.447 1.190 0.729 1.000 0.271  18.019 0.000 0.000  0.000  44.924 1.140  6.395  55.458 -99.999 -99.999 0.451 0.544  30.180 1.000 1.140  6.395  6.395   0.000 -99.999   3.380   0.061 -99.999 -99.999 -99.999 -99.999   0.000   0.000  16.120   0.000  2018  182  Sun  2018-07-01    47
2018-183  2018  183  Mon  2018-07-02    5.800 1.150 1.150 0.470 1.200 0.739 1.000 0.261  18.019 0.000 0.000  0.000  44.924 1.150  6.670  56.115 -99.999 -99.999 0.456 0.533  29.920 1.000 1.150  6.670  6.670   0.000 -99.999  10.050   0.179 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  183  Mon  2018-07-02    48
2018-184  2018  184  Tue  2018-07-03    5.440 1.160 1.160 0.493 1.210 0.747 1.000 0.253  18.019 0.000 0.000  0.000  44.924 1.160  6.310  56.771 -99.999 -99.999 0.461 0.548  31.087 1.000 1.160  6.310  6.310   0.000 -99.999  16.360   0.288 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  184  Tue  2018-07-03    49
2018-185  2018  185  Wed  2018-07-04    4.880 1.170 1.170 0.517 1.220 0.755 1.000 0.245  18.019 0.000 0.000  0.000  44.924 1.170  5.710  57.427 -99.999 -99.999 0.467 0.572  32.826 1.000 1.170  5.710  5.710   0.000 -99.999  22.070   0.384 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  185  Wed  2018-07-04    50
2018-186  2018  186  Thu  2018-07-05    6.270 1.180 1.180 0.540 1.230 0.762 1.000 0.238  18.019 0.000 0.000  0.000  44.924 1.180  7.399  58.084 -99.999 -99.999 0.472 0.504  29.277 1.000 1.180  7.399  7.399   0.000 -99.999  29.468   0.507 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  186  Thu  2018-07-05    51
2018-187  2018  187  Fri  2018-07-06    6.890 1.190 1.190 0.563 1.240 0.769 1.000 0.231  18.019 0.000 0.000  0.000  44.924 1.190  8.199  58.740 -99.999 -99.999 0.477 0.472  27.727 0.944 1.123  7.739  7.739   0.000 -99.999  37.207   0.633 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  187  Fri  2018-07-06    52
2018-188  2018  188  Sat  2018-07-07    7.170 1.200 1.200 0.587 1.250 0.775 1.000 0.225  18.019 0.000 0.000  0.000  44.924 1.200  8.604  59.396 -99.999 -99.999 0.483 0.456  27.075 0.687 0.824  5.907  5.907   0.000 -99.999  43.114   0.726 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  188  Sat  2018-07-07    53
2018-189  2018  189  Sun  2018-07-08    7.170 1.210 1.210 0.610 1.260 0.781 1.000 0.219  18.019 0.000 0.000  0.000  44.924 1.210  8.676  60.053 -99.999 -99.999 0.488 0.453  27.202 0.516 0.624  4.473  4.473   0.000 -99.999  47.587   0.792 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  189  Sun  2018-07-08    54
2018-190  2018  190  Mon  2018-07-09    6.890 1.220 1.220 0.633 1.270 0.787 1.000 0.213  18.019 0.000 0.000  0.000  44.924 1.220  8.406  60.709 -99.999 -99.999 0.493 0.464  28.155 0.403 0.492  3.388  3.388   0.000 -99.999  50.975   0.840 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  190  Mon  2018-07-09    55
2018-191  2018  191  Tue  2018-07-10    6.100 1.230 1.230 0.657 1.280 0.792 1.000 0.208  11.968 0.000 0.000  0.000  44.924 1.230  7.503  61.365 -99.999 -99.999 0.499 0.500  30.675 0.339 0.416  2.540  2.540   0.000 -99.999   2.540   0.041 -99.999 -99.999 -99.999 -99.999  50.975   0.000   0.000   0.000  2018  191  Tue  2018-07-10    56
