ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
1,Wheat,1989,125,1989-11-08,mad,0.5,391.005,275.254,275.254,14.298,260.957,44.96,0.0,87.927,0.0,224.966,0.0,292.456,3,74.989,13.624,58.397,0.203
5,Rice,1993,120,1993-07-01,madDs,0.74,623.418,669.184,666.271,327.601,338.671,250.445,2.176,459.95,0.0,489.123,0.0,635.86,10,48.912,0.0,32.357,0.219
5,Fallow,1993,10,1993-10-29,NaN,0.0,42.459,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0,,32.561,32.561,0.219
5,Wheat,1993,125,1993-11-08,mad,0.5,432.073,277.883,277.883,11.563,266.32,0.0,0.0,48.597,0.0,146.548,0.0,190.512,2,73.274,13.024,0.0,0.154
4,Rice,1992,120,1992-07-01,madDs,0.74,593.511,632.912,631.893,302.763,329.13,151.263,1.422,323.15,0.0,508.322,0.0,660.819,11,46.211,0.0,48.316,0.251
4,Fallow,1992,10,1992-10-29,NaN,0.0,45.905,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0,,48.561,48.561,0.251
4,Wheat,1992,125,1992-11-08,mad,0.5,410.31,306.498,306.498,21.813,284.684,0.0,0.0,50.323,0.0,229.281,0.0,298.066,3,76.427,19.424,46.812,0.193
9,Rice,1997,120,1997-07-01,madDs,0.74,557.844,604.436,603.703,295.259,308.444,242.386,2.109,602.261,0.0,329.212,0.0,427.975,6,54.869,0.0,85.458,0.325
9,Fallow,1997,10,1997-10-29,NaN,0.0,35.488,25.018,25.018,25.018,0.0,1.51,0.158,0.141,0.0,0.0,0.0,0.0,0,,85.56,58.401,0.271
9,Wheat,1997,125,1997-11-08,mad,0.5,335.59,262.055,262.055,33.371,228.683,30.265,0.001,123.147,0.0,150.493,0.0,195.641,2,75.247,23.424,56.689,0.201
10,Rice,1998,120,1998-07-01,madDs,0.74,564.118,602.125,601.717,295.556,306.161,334.426,2.857,672.472,0.0,389.418,0.0,506.244,7,55.631,0.0,128.888,0.412
10,Fallow,1998,10,1998-10-29,NaN,0.0,38.701,36.736,36.736,36.736,0.0,3.705,0.351,2.3,0.0,0.0,0.0,0.0,0,,129.06,58.838,0.272
10,Wheat,1998,125,1998-11-08,mad,0.5,380.795,236.076,236.076,7.553,228.523,6.385,0.001,43.576,0.0,148.314,0.0,192.809,2,74.157,23.624,23.485,0.173
